Node 0: X: 10.5, Y: 14.4, Value: 0.0
  -> Connected to Node 1 with distance 0.76
  -> Connected to Node 2 with distance 7.65
  -> Connected to Node 3 with distance 7.88
  -> Connected to Node 4 with distance 7.87
  -> Connected to Node 5 with distance 5.96
  -> Connected to Node 6 with distance 4.56
  -> Connected to Node 7 with distance 5.90
  -> Connected to Node 8 with distance 6.81
  -> Connected to Node 9 with distance 5.70
  -> Connected to Node 10 with distance 7.64
  -> Connected to Node 11 with distance 8.09
  -> Connected to Node 12 with distance 6.31
  -> Connected to Node 13 with distance 3.91
  -> Connected to Node 14 with distance 9.94
  -> Connected to Node 15 with distance 7.75
  -> Connected to Node 16 with distance 9.65
  -> Connected to Node 17 with distance 5.28
  -> Connected to Node 18 with distance 2.56
  -> Connected to Node 19 with distance 3.28
  -> Connected to Node 20 with distance 4.32
  -> Connected to Node 21 with distance 6.02
  -> Connected to Node 22 with distance 7.71
  -> Connected to Node 23 with distance 9.43
  -> Connected to Node 26 with distance 5.96
  -> Connected to Node 27 with distance 3.76
  -> Connected to Node 28 with distance 1.79
  -> Connected to Node 29 with distance 5.91
  -> Connected to Node 30 with distance 7.18
  -> Connected to Node 31 with distance 5.44

Problem with budget 40.0
Node 1: X: 11.2, Y: 14.1, Value: 0.0
  -> Connected to Node 0 with distance 0.76
  -> Connected to Node 2 with distance 7.03
  -> Connected to Node 3 with distance 7.14
  -> Connected to Node 4 with distance 7.15
  -> Connected to Node 5 with distance 5.22
  -> Connected to Node 6 with distance 3.81
  -> Connected to Node 7 with distance 5.16
  -> Connected to Node 8 with distance 6.38
  -> Connected to Node 9 with distance 5.37
  -> Connected to Node 10 with distance 7.37
  -> Connected to Node 11 with distance 7.91
  -> Connected to Node 12 with distance 6.32
  -> Connected to Node 13 with distance 3.32
  -> Connected to Node 14 with distance 9.43
  -> Connected to Node 15 with distance 7.40
  -> Connected to Node 16 with distance 9.55
  -> Connected to Node 17 with distance 5.42
  -> Connected to Node 18 with distance 2.11
  -> Connected to Node 19 with distance 3.50
  -> Connected to Node 20 with distance 4.73
  -> Connected to Node 21 with distance 6.22
  -> Connected to Node 22 with distance 8.06
  -> Connected to Node 23 with distance 9.82
